LAT,LONG,GOBS
-20.85865,-54.59886,978535.79
-20.86584,-54.59635,978534.80
-20.87304,-54.59431,978536.31
-20.87977,-54.59132,978536.28
-20.88787,-54.58975,978541.51
-20.71102,-54.66502,978529.28
-20.71826,-54.66587,978529.54
-20.72546,-54.66432,978529.40
-20.72915,-54.67002,978528.73
-20.73241,-54.67717,978527.60
-20.73746,-54.68333,978530.12
-20.74294,-54.68805,978530.40
-20.74838,-54.68988,978531.22
-20.77907,-54.62269,978529.17
-20.77225,-54.61943,978527.57
-20.77487,-54.61315,978527.49
-20.77885,-54.60685,978533.00
-20.78150,-54.60297,978533.54
-20.77603,-54.59873,978529.57
-20.76963,-54.59307,978526.67
-20.76413,-54.58740,978526.98
-20.75954,-54.58171,978524.65
-20.75492,-54.57459,978524.44
-20.75123,-54.56889,978524.87
-20.74841,-54.56125,978523.58
-20.74651,-54.55456,978521.86
-20.74237,-54.54887,978517.02
-20.73777,-54.54319,978516.26
-20.73272,-54.53751,978514.50
-20.94730,-54.57727,978545.62
-20.94603,-54.58354,978543.74
-20.94657,-54.58977,978541.68
-20.95025,-54.59452,978541.39
-20.95303,-54.59976,978540.51
-20.89461,-54.58772,978540.44
-20.89200,-54.59449,978542.74
-20.89436,-54.60166,978538.79
-20.89581,-54.60884,978540.92
-20.89682,-54.61603,978543.36
-20.88961,-54.61711,978540.97
-20.88241,-54.61914,978539.03
-20.87431,-54.62119,978539.02
-20.86803,-54.62369,978538.25
-20.85993,-54.62574,978538.93
-20.85271,-54.62585,978538.02
-20.84632,-54.62115,978539.00
-20.83997,-54.61885,978538.11
-20.83314,-54.61512,978538.38
-20.81860,-54.60814,978533.49
-20.81134,-54.60586,978533.84
-20.80498,-54.60260,978534.95
-20.79905,-54.59837,978531.07
-20.79358,-54.59461,978533.55
-20.78898,-54.58845,978535.09
-20.78620,-54.58369,978534.39
-20.78205,-54.57752,978532.61
-20.77790,-54.57134,978529.81
-20.77555,-54.56466,978527.95
-20.77320,-54.55798,978524.52
-20.77084,-54.55081,978522.21
-20.76803,-54.54414,978520.18
-20.76566,-54.53650,978519.34
-20.76374,-54.52789,978516.90
-20.89271,-54.58055,978538.89
-20.89350,-54.57285,978534.55
-20.89611,-54.56560,978534.39
-20.89962,-54.55882,978536.52
-20.90270,-54.55252,978535.67
-20.90851,-54.54810,978534.87
-20.91203,-54.54180,978534.41
-20.91372,-54.53408,978539.08
-20.91540,-54.52493,978542.32
-20.91001,-54.52742,978542.27
-20.90372,-54.52896,978537.76
-20.90272,-54.52225,978533.65
-20.90216,-54.51506,978532.73
-20.89891,-54.50886,978530.32
-20.89836,-54.50215,978529.45
-20.89920,-54.49781,978529.55
-20.90046,-54.58619,978537.69
-20.90765,-54.58367,978538.12
-20.91439,-54.58164,978539.31
-20.92248,-54.57911,978544.57
-20.92923,-54.57708,978547.56
-20.93643,-54.57504,978548.10
-20.94363,-54.57300,978546.63
-20.95081,-54.57048,978546.09
-20.95847,-54.56892,978543.88
-20.96611,-54.56639,978543.21
-20.97420,-54.56386,978546.67
-20.98274,-54.56131,978542.97
-20.98993,-54.55927,978542.41
-20.99757,-54.55675,978543.14
-21.00567,-54.55469,978539.18
-20.92284,-54.57141,978543.06
-20.91776,-54.56477,978541.10
-20.91318,-54.55956,978538.35
-20.90991,-54.55240,978536.05
-20.94850,-54.56668,978548.11
-20.95428,-54.56033,978547.71
-20.95914,-54.55305,978547.62
-20.96495,-54.54911,978547.42
-20.96983,-54.54278,978546.04
-20.97336,-54.53743,978547.63
-20.97778,-54.53063,978547.96
-20.98448,-54.52571,978546.03
-20.99255,-54.52174,978549.76
-21.00061,-54.51728,978552.42
-21.00414,-54.51145,978550.58
-20.99951,-54.50383,978553.82
-20.99756,-54.52454,978549.96
-21.00035,-54.53074,978547.92
-21.00317,-54.53791,978544.15
-21.00599,-54.54603,978539.36
-21.01160,-54.55892,978536.46
-21.01440,-54.56561,978534.95
-21.01765,-54.57180,978533.83
-21.02357,-54.57556,978531.60
-21.02904,-54.57931,978531.70
-21.03408,-54.58452,978531.83
-21.04046,-54.58875,978531.55
-21.04597,-54.59491,978530.98
-21.05057,-54.60109,978529.56
-21.05638,-54.59667,978530.37
-21.06355,-54.59270,978530.84
-21.06708,-54.58687,978531.66
-21.06969,-54.58010,978526.08
-21.06824,-54.57339,978527.58
-21.06363,-54.56673,978533.16
-21.05993,-54.56102,978536.95
-21.05579,-54.55532,978536.81
-21.05161,-54.54721,978533.33
-21.04376,-54.53531,978535.48
-21.03961,-54.52913,978536.38
-21.03546,-54.52343,978538.59
-21.03721,-54.51955,978537.10
-21.03940,-54.51471,978537.68
-21.03795,-54.50800,978540.97
-21.03602,-54.49986,978542.80
-21.07365,-54.57330,978525.70
-21.07492,-54.56703,978529.91
-21.07752,-54.55977,978530.87
-21.08013,-54.55251,978533.17
-21.08274,-54.54574,978533.97
-21.08264,-54.53900,978535.29
-21.10266,-54.51895,978533.94
-21.10482,-54.51218,978535.70
-21.10653,-54.50541,978539.02
-21.10823,-54.49865,978542.35
-21.11036,-54.48996,978545.63
-21.11256,-54.48607,978538.78
-21.11339,-54.48076,978549.10
-21.17389,-54.51199,978543.12
-21.17489,-54.51871,978544.18
-21.17591,-54.52639,978545.62
-21.17557,-54.53410,978549.76
-21.17835,-54.53935,978550.81
-21.18565,-54.54452,978549.10
-21.19117,-54.55165,978548.21
-21.17320,-54.49563,978539.59
-21.17309,-54.48842,978542.35
-21.17386,-54.47974,978545.45
-21.17329,-54.47157,978545.24
-21.17321,-54.46628,978547.27
-21.21186,-54.48487,978543.36
-21.21084,-54.47719,978541.95
-21.21028,-54.46949,978542.28
-21.20300,-54.46577,978541.30
-21.20023,-54.46148,978545.02
-21.01376,-54.55216,978536.42
-21.02138,-54.54866,978535.99
-21.02949,-54.54757,978541.60
-21.03803,-54.54503,978538.81
-21.04567,-54.54250,978534.71
-21.05420,-54.53899,978536.64
-21.06275,-54.53741,978542.05
-21.07084,-54.53487,978537.73
-21.07894,-54.53281,978534.69
-21.08567,-54.53029,978536.25
-21.09377,-54.52824,978536.26
-21.10276,-54.52568,978532.75
-21.11040,-54.52315,978531.11
-21.11849,-54.52061,978533.35
-21.12658,-54.51855,978539.22
-21.13422,-54.51602,978539.03
-21.14276,-54.51299,978538.11
-21.14905,-54.51096,978543.19
-21.15713,-54.50842,978538.45
-21.16567,-54.50587,978538.44
-21.17287,-54.50382,978540.38
-21.18186,-54.50126,978537.58
-21.18905,-54.49922,978538.28
-21.19803,-54.49618,978539.97
-21.20612,-54.49363,978544.58
-21.21511,-54.49108,978543.50
-21.22231,-54.48903,978548.46
-21.23130,-54.48647,978553.84
-21.23938,-54.48344,978546.72
-21.24701,-54.48091,978549.39
-21.25421,-54.47886,978553.44
-21.26184,-54.47632,978554.32
-21.26904,-54.47427,978555.01
-21.27712,-54.47172,978557.42
-21.28611,-54.46868,978563.02
-21.29510,-54.46612,978566.42
-21.30319,-54.46405,978563.77
-21.31128,-54.46150,978561.97
-21.31622,-54.45997,978565.68
-21.32341,-54.45744,978561.34
-21.33150,-54.45537,978558.35
-21.33914,-54.45283,978555.80
-21.34722,-54.45028,978555.37
-21.35307,-54.44874,978556.84
-21.35936,-54.44718,978556.47
-21.36475,-54.44516,978558.31
-21.20831,-54.45846,978545.39
-21.21505,-54.45690,978543.02
-21.22225,-54.45485,978539.42
-21.22855,-54.45378,978535.86
