LAT,LONG,GOBS
-22.18989,-54.72527,978639.35
-22.19014,-54.72963,978640.72
-22.19028,-54.73411,978636.78
-22.19046,-54.73794,978635.09
-22.21467,-54.78194,978630.06
-22.21858,-54.78146,978630.35
-22.22207,-54.78067,978631.19
-22.22401,-54.77902,978631.71
-22.21967,-54.73802,978630.87
-22.21542,-54.73709,978631.92
-22.21223,-54.7364,978633.17
-22.21137,-54.74068,978635.43
-22.21094,-54.74351,978637.56
-22.2086,-54.74622,978635.77
-22.20798,-54.74971,978633.97
-22.20172,-54.74515,978633.69
-22.20201,-54.74131,978635.3
-22.18655,-54.741,978636.54
-22.18355,-54.74202,978638.42
-22.21821,-54.76763,978628.85
-22.21369,-54.76794,978628.23
-22.21076,-54.76834,978629.16
-22.2075,-54.77028,978630.74
-22.19934,-54.7597,978636.8
-22.19753,-54.75793,978637.17
-22.19949,-54.77381,978636.59
-22.22672,-54.80676,978629.52
-22.22723,-54.81071,978628.87
-22.22794,-54.81638,978629.07
-22.22587,-54.81947,978629.0
-22.22355,-54.8246,978628.7
-22.22139,-54.82842,978627.84
-22.21905,-54.8323,978626.23
-22.21677,-54.83605,978624.81
-22.21437,-54.83957,978623.11
-22.21171,-54.84401,978622.53
-22.20949,-54.84774,978622.25
-22.20692,-54.85219,978622.0
-22.20472,-54.85594,978622.36
-22.20249,-54.85965,978623.07
-22.1998,-54.86406,978624.78
-22.19838,-54.86794,978624.91
-22.19799,-54.87338,978624.47
-22.19739,-54.87812,978624.17
-22.19679,-54.88263,978624.71
-22.19615,-54.88782,978624.89
-22.19539,-54.89199,978624.11
-22.19464,-54.89737,978623.44
-22.19401,-54.90156,978623.2
-22.19349,-54.9056,978623.72
-22.19275,-54.91109,978623.32
-22.19166,-54.91594,978622.63
-22.19022,-54.92032,978622.84
-22.18908,-54.92464,978623.11
-22.18769,-54.92828,978622.95
-22.18553,-54.93265,978623.3
-22.1833,-54.93646,978624.36
-22.18032,-54.94126,978626.19
-22.17786,-54.94557,978627.08
-22.17585,-54.94993,978627.69
-22.17397,-54.95458,978628.94
-22.1741,-54.95827,978630.14
-22.1684,-54.95974,978627.79
-22.16474,-54.9623,978627.69
-22.16318,-54.96689,978626.23
-22.16407,-54.97199,978625.6
-22.16503,-54.97677,978624.1
-22.16605,-54.9813,978624.04
-22.1668,-54.98578,978624.79
-22.16636,-54.99049,978626.56
-22.16314,-54.99355,978626.87
-22.15947,-54.99618,978626.19
-22.15614,-54.99857,978625.36
-22.16953,-54.98813,978626.24
-22.17245,-54.99227,978629.82
-22.17616,-54.99523,978632.9
-22.17949,-54.99623,978635.31
-22.18361,-54.99449,978636.9
-22.18768,-54.99639,978638.83
-22.1911,-54.99839,978639.72
-22.14302,-54.99951,978623.19
-22.13929,-54.99785,978623.6
-22.13765,-54.99328,978622.54
-22.13596,-54.9897,978622.18
-22.13514,-54.98598,978623.39
-22.13565,-54.98067,978624.8
-22.16036,-54.96775,978625.12
-22.15612,-54.96718,978623.24
-22.15198,-54.96673,978621.83
-22.14754,-54.96617,978623.11
-22.14383,-54.96921,978624.33
-22.14053,-54.97193,978627.42
-22.14446,-54.96372,978624.1
