LAT,LONG,GOBS
-25.57570,-51.08390,978674.12
-25.09050,-50.16510,978715.14
-25.62240,-51.20420,978678.31
-25.07870,-50.15360,978714.21
-25.10620,-50.16050,978729.03
-25.60450,-51.14470,978702.84
-25.61320,-51.28040,978665.33
-25.61320,-51.28560,978665.33
-25.60450,-51.14290,978702.84
-25.09480,-50.16000,978713.50
-25.38320,-50.43660,978749.32
-25.40730,-50.52000,978743.30
-25.40650,-50.47250,978731.03
-26.52990,-50.22000,978819.50
-25.35530,-51.48870,978687.43
-26.61320,-50.23000,978824.40
-26.58270,-50.74450,978797.27
-26.14690,-49.91130,978783.82
-26.10650,-49.80160,978811.00
-26.03990,-48.85000,978982.00
-26.22990,-49.95500,978783.10
-26.16990,-49.84500,978793.10
-26.16270,-49.94450,978787.24
-26.14730,-49.87300,978802.63
-26.14990,-48.90000,978996.00
-26.12200,-49.84410,978807.39
-26.11990,-49.81500,978810.30
-26.10820,-49.80960,978808.37
-26.36990,-48.83500,979017.10
-26.04990,-49.79500,978800.80
-26.08480,-48.85500,978994.20
-26.60990,-48.70500,979029.90
-26.70990,-48.69000,979044.20
-26.64990,-48.70500,979038.40
-26.19980,-48.90500,979001.70
-26.54990,-48.71500,979030.20
-26.46990,-48.74000,979026.60
-26.41990,-48.78000,979025.60
-26.35490,-48.73000,979017.50
-26.29990,-48.84500,979015.26
-26.71240,-50.30000,978834.59
-26.74070,-50.32000,978827.68
-26.75040,-50.34210,978780.97
-26.37990,-48.72500,979016.80
-26.73990,-50.34000,978764.70
-26.72990,-50.98870,978769.17
-26.69540,-50.98610,978772.52
-26.66990,-50.27000,978828.50
-26.66990,-50.29030,978826.18
-26.65820,-50.97340,978730.07
-26.62590,-50.92670,978732.91
-22.45820,-49.00330,978582.20
-25.39320,-51.46840,978670.26
-23.88370,-52.82210,978730.39
-23.92070,-52.53920,978696.70
-23.91520,-52.73210,978703.83
-23.89020,-52.32290,978701.73
-23.90100,-52.77220,978714.05
-23.86900,-52.86060,978722.88
-23.85740,-52.30890,978699.03
-23.85370,-52.40170,978721.49
-23.83770,-52.94210,978732.06
-23.83070,-52.28920,978700.42
-23.81600,-52.98970,978737.06
-23.77070,-52.21840,978711.78
-23.79770,-52.26090,978696.18
-23.92150,-52.34090,978700.84
-23.71040,-52.16060,978719.69
-23.73790,-52.19890,978713.51
-23.52990,-52.04710,978689.95
-23.69620,-52.13420,978724.25
-23.66690,-52.12640,978716.88
-23.63940,-52.11090,978709.82
-23.59440,-52.06140,978703.18
-23.55930,-52.05390,978701.14
-23.48020,-52.01310,978673.04
-23.79540,-53.02510,978729.53
-23.78150,-53.06760,978722.46
-23.14440,-51.20690,978627.36
-23.13690,-51.46320,978623.75
-23.19450,-51.43920,978619.93
-23.19240,-51.44510,978629.82
-23.95600,-52.60510,978701.29
-23.16070,-51.02560,978655.89
-23.21370,-51.05960,978649.82
-23.13870,-51.46890,978625.87
-23.16650,-51.45890,978628.15
-23.12180,-51.47920,978631.24
-23.19480,-51.21890,978613.44
-23.09200,-51.56090,978653.42
-23.27170,-51.39920,978613.65
-23.27890,-51.27970,978620.83
-23.24290,-51.40460,978613.29
-23.27570,-51.30140,978626.40
-23.27540,-51.28540,978623.16
-23.27350,-51.05840,978643.11
-23.27220,-51.05770,978643.01
-23.22790,-51.41720,978623.14
-23.26650,-51.04810,978642.54
-23.26440,-51.05010,978650.32
-23.26070,-51.25490,978625.84
-23.10350,-51.48840,978631.63
-23.92990,-52.68670,978699.28
-23.01270,-51.03310,978652.73
-23.93040,-52.49390,978681.51
-23.95040,-52.35840,978699.48
-23.94620,-52.47720,978690.27
-23.94620,-52.56470,978691.70
-23.94240,-52.64890,978696.82
-23.96650,-52.44510,978690.26
-23.08520,-51.02290,978654.66
-23.06280,-51.03560,978658.36
-23.06240,-51.63390,978655.29
-23.01120,-51.03270,978652.73
-23.99490,-52.43290,978688.34
-23.00490,-51.65260,978648.13
-23.00100,-51.19070,978611.74
-23.28000,-51.06890,978648.82
-22.60320,-48.77500,978602.10
-22.73490,-48.57000,978580.47
-22.74320,-48.88000,978564.60
-22.57820,-48.81500,978592.90
-22.73320,-48.68500,978562.70
-22.69320,-48.63830,978567.60
-22.63320,-48.70000,978578.20
-22.75320,-48.74330,978559.90
-22.55300,-48.04090,978597.74
-22.54990,-48.84500,978589.40
-22.74990,-48.64500,978558.60
-22.86990,-48.74500,978561.00
-22.94150,-48.77500,978578.80
-22.99990,-48.84500,978580.50
-22.75990,-48.97500,978604.60
-22.75490,-48.82830,978566.50
-22.81980,-48.68000,978573.90
-22.81480,-48.36830,978552.10
-22.80820,-48.44500,978542.20
-22.78820,-48.25000,978533.60
-22.77990,-48.56330,978566.70
-22.77990,-48.61000,978557.30
-24.02070,-52.40470,978693.53
-24.04370,-52.37840,978691.27
-24.20600,-52.40870,978692.34
-24.16930,-52.41370,978690.63
-24.14850,-52.41470,978699.92
-24.93370,-51.62590,978646.88
-24.31350,-52.39210,978688.93
-24.27870,-52.39670,978686.07
-24.01290,-52.36090,978699.97
-24.23450,-52.40060,978702.80
-24.61200,-52.21210,978697.34
-24.64020,-51.98590,978666.10
-24.63270,-52.01370,978710.41
-24.61790,-52.15220,978692.31
-24.61600,-52.11920,978696.76
-24.61570,-52.08640,978703.80
-24.10620,-52.38840,978693.68
-24.58600,-52.27760,978707.20
-24.53290,-52.31960,978707.41
-24.49680,-52.32470,978675.36
-24.47520,-52.34170,978676.17
-24.41400,-52.38920,978679.00
-24.38030,-52.41370,978677.22
-24.34620,-52.41170,978682.89
-24.66240,-51.92870,978675.19
-23.97990,-48.87160,978691.32
-23.98490,-48.36660,978661.60
-23.87490,-47.99150,978662.20
-24.66240,-51.96090,978672.33
-24.23990,-48.59000,978675.10
-24.33480,-48.61500,978675.00
-24.52990,-48.87000,978697.50
-24.51150,-48.84000,978672.20
-24.18490,-48.52500,978675.40
-24.41490,-48.66000,978684.30
-24.46980,-48.76160,978678.90
-24.60490,-48.97500,978740.60
-24.67690,-51.85210,978672.78
-24.13990,-48.45830,978675.30
-24.06820,-48.41160,978677.30
-24.05490,-48.33500,978659.10
-23.29200,-51.09340,978646.81
-24.03820,-48.37000,978677.00
-24.55490,-48.93660,978708.20
-24.00650,-48.34660,978670.90
-25.85320,-52.52670,978787.30
-25.40820,-52.41670,978707.56
-25.24870,-51.54810,978653.24
-25.16430,-51.52720,978659.07
-25.09620,-51.53840,978649.27
-25.02490,-51.54710,978646.72
-25.97650,-52.56670,978794.90
-24.61320,-48.99160,978772.00
-25.66990,-52.48010,978816.60
-25.54990,-52.42010,978742.60
-24.63320,-48.99500,978811.80
-24.72990,-48.99000,978757.50
-24.67990,-48.99330,978820.50
-24.66990,-48.99500,978835.40
-24.01490,-48.35160,978659.90
-24.66950,-51.89010,978687.70
-24.87490,-51.71460,978659.29
-24.75600,-51.76290,978674.58
-24.99990,-51.54810,978650.19
-24.95540,-51.56590,978659.14
-24.88990,-49.09000,978746.30
-24.90770,-51.66120,978665.76
-24.88870,-51.68010,978664.98
-24.90200,-50.07910,978674.58
-24.86600,-51.74510,978657.66
-24.83570,-51.75010,978659.22
-24.80100,-51.75370,978668.85
-24.05490,-48.38660,978668.80
-24.71350,-51.78970,978667.27
-24.68900,-51.81590,978661.11
-24.78490,-50.01000,978696.30
-24.99990,-49.08000,978734.80
-24.76990,-49.03000,978693.80
-24.91200,-50.09080,978689.79
-24.87490,-49.07000,978724.90
-24.85490,-49.06000,978712.10
-24.81980,-49.04500,978722.00
-24.80490,-49.04000,978685.10
-24.77320,-49.04000,978698.60
-24.91270,-50.08460,978659.04
-24.75490,-49.01000,978725.80
-24.71480,-49.01000,978768.40
-24.69980,-49.01000,978795.60
-24.65820,-49.01000,978836.50
-24.52490,-49.95000,978676.90
-24.94650,-50.11110,978692.41
-23.97150,-48.28500,978674.90
-23.28020,-51.06890,978648.82
-23.96650,-48.45000,978685.40
-23.59440,-51.61970,978624.59
-23.01400,-50.75780,978646.68
-23.06120,-50.25250,978634.28
-23.06020,-50.77860,978633.34
-23.03420,-50.24650,978623.18
-23.03400,-50.24660,978623.35
-23.08870,-50.28280,978662.73
-23.59320,-51.58340,978623.69
-23.59320,-51.64390,978629.76
-23.57070,-51.55620,978620.23
-23.55650,-51.48670,978624.41
-23.54870,-51.46960,978613.93
-23.08170,-50.75410,978638.61
-23.51940,-51.75890,978653.83
-23.37070,-51.41840,978619.03
-23.10940,-50.31550,978666.80
-23.15200,-50.57250,978639.99
-23.14650,-50.51810,978653.94
-23.14490,-50.48710,978664.81
-23.14080,-50.60630,978638.42
-23.10270,-50.70150,978641.19
-23.13970,-50.41050,978657.15
-23.13940,-50.41050,978657.36
-23.13350,-50.45000,978672.99
-23.11920,-50.67850,978631.53
-23.11370,-50.37160,978665.11
-23.52350,-51.68140,978630.37
-23.15790,-50.52500,978663.05
-23.30130,-51.38820,978614.50
-23.32790,-51.13710,978638.93
-23.32800,-51.13710,978638.93
-23.33600,-51.38720,978618.39
-23.31070,-51.15910,978630.33
-23.30920,-51.38790,978620.42
-23.48070,-51.78340,978651.87
-23.30090,-51.17870,978631.26
-23.29870,-51.32320,978615.50
-23.29690,-51.39090,978614.83
-23.29320,-51.14510,978644.17
-23.29270,-51.21710,978630.65
-23.29220,-51.12390,978646.32
-23.51450,-51.72510,978637.89
-23.51650,-51.60540,978615.63
-23.44700,-51.87140,978661.40
-23.44370,-51.43040,978620.68
-23.96480,-48.80000,978670.00
-23.48030,-51.43120,978618.14
-23.47820,-51.80810,978657.26
-23.47740,-51.42320,978619.95
-23.46400,-51.84420,978664.35
-23.37820,-51.31840,978636.70
-23.40100,-51.42770,978616.85
-23.42700,-51.97090,978661.63
-23.42520,-51.89810,978663.79
-23.41700,-51.94460,978668.68
-23.41120,-51.43340,978616.52
-23.41000,-51.43020,978616.23
-23.02990,-48.87000,978566.80
-23.59480,-49.00000,978647.03
-23.28490,-48.99000,978634.70
-23.09990,-48.92160,978581.13
-23.51490,-49.04500,978643.34
-23.16820,-50.60860,978638.58
-23.46370,-50.76110,978626.06
-23.40990,-50.78860,978626.68
-23.41930,-50.75880,978624.92
-23.94980,-48.65830,978679.10
-23.94980,-48.73000,978671.30
-23.93150,-48.53330,978680.90
-23.69320,-48.91500,978653.10
-23.91990,-48.15490,978658.70
-23.89490,-48.89000,978681.54
-23.88490,-48.07490,978657.40
-23.78490,-48.90000,978659.44
-23.16650,-50.67150,978624.66
-23.24650,-50.72800,978667.57
-23.18350,-50.64180,978623.85
-23.25670,-50.75310,978664.47
-23.25350,-50.98040,978673.27
-23.24990,-50.71460,978673.63
-23.25770,-50.75330,978664.62
-25.30700,-51.52140,978671.65
-23.23200,-50.67580,978656.96
-23.20540,-50.65460,978630.85
-23.18370,-50.64680,978619.11
-23.26650,-50.98220,978671.26
-23.18190,-50.65000,978615.28
-23.37570,-50.84300,978641.87
-23.28820,-50.90050,978671.31
-23.28570,-50.90800,978671.19
-23.28450,-50.94270,978667.15
-23.27990,-50.83530,978655.48
-23.27850,-50.82780,978658.41
-23.27820,-50.85980,978655.60
-23.27020,-50.96570,978672.35
-23.26190,-50.77600,978647.19
-23.36740,-50.84750,978639.18
-22.97900,-49.87050,978638.77
-26.45080,-50.30790,978815.11
-26.27410,-50.84470,978797.10
-26.29470,-50.57220,978800.35
-26.63610,-50.26050,978828.51
-26.65250,-50.97290,978732.71
-26.51860,-50.71890,978793.15
-26.55430,-50.77000,978792.54
-26.12180,-49.83670,978800.08
-25.33960,-51.50290,978678.97
-25.00080,-51.54560,978650.18
-22.79700,-50.33500,978632.78
-23.28160,-50.86450,978656.93
-23.86900,-52.31510,978702.03
-23.43770,-51.88250,978663.74
-23.08640,-51.56580,978659.54
-23.35390,-51.40020,978619.72
-23.27920,-51.25920,978628.52
-23.21980,-51.05670,978649.74
-23.59760,-51.59300,978627.19
-23.15760,-50.52470,978662.90
-23.00530,-50.26620,978631.17
-23.94780,-52.62680,978695.04
-24.43740,-50.76490,978693.99
-24.41510,-50.85500,978696.15
-24.40730,-50.88610,978678.60
-24.41780,-50.88920,978683.51
-24.43900,-50.95110,978726.68
-24.45910,-50.92900,978712.69
-24.36700,-50.75980,978711.03
-24.35630,-50.70140,978690.18
-24.65880,-50.86590,978666.77
-24.67170,-50.77620,978693.06
-24.34750,-50.81940,978693.01
-24.60300,-50.78890,978679.31
-24.62860,-50.96820,978691.96
-24.45090,-50.74410,978678.78
-24.47330,-50.84970,978682.51
-24.46900,-50.79700,978691.99
-24.45980,-50.74870,978686.56
-24.35340,-50.96060,978748.08
-24.35410,-50.89870,978690.15
-23.62420,-52.09450,978707.19
-24.34810,-50.86570,978695.24
-24.11940,-50.77120,978700.56
-24.13410,-50.80130,978705.81
-24.12910,-50.96370,978656.53
